Timestamp,RTU_1 DAClgSetpt(°F)
01-Jan-20 11:38:57 am,63.5
01-Jan-20 11:43:58 am,62.5
01-Jan-20 11:49:50 am,61.3
01-Jan-20 11:54:50 am,60.3
01-Jan-20 11:59:51 am,59.3
01-Jan-20 12:04:51 pm,58.3
01-Jan-20 12:10:07 pm,57.2
01-Jan-20 12:15:17 pm,56.2
01-Jan-20 12:21:02 pm,55.1
01-Jan-20 02:11:06 pm,56.1
01-Jan-20 02:16:51 pm,57.2
01-Jan-20 02:22:30 pm,58.3
01-Jan-20 02:27:44 pm,59.4
01-Jan-20 02:32:43 pm,60.4
01-Jan-20 02:38:53 pm,61.6
01-Jan-20 02:44:44 pm,62.8
01-Jan-20 02:49:45 pm,63.8
01-Jan-20 02:55:12 pm,64.9
02-Jan-20 10:07:40 am,63.8
02-Jan-20 10:12:41 am,62.8
02-Jan-20 10:17:47 am,61.8
02-Jan-20 10:23:32 am,60.6
02-Jan-20 10:28:59 am,59.5
02-Jan-20 10:34:55 am,58.4
02-Jan-20 10:39:55 am,57.4
02-Jan-20 10:45:18 am,56.3
02-Jan-20 10:50:16 am,55.3
02-Jan-20 03:09:10 pm,56.3
02-Jan-20 03:14:26 pm,57.4
02-Jan-20 03:19:31 pm,58.4
02-Jan-20 03:24:34 pm,59.4
02-Jan-20 03:29:56 pm,60.5
02-Jan-20 03:34:55 pm,61.5
02-Jan-20 03:39:56 pm,62.5
02-Jan-20 03:45:50 pm,63.7
02-Jan-20 03:50:54 pm,64.7
03-Jan-20 08:03:03 am,63.6
03-Jan-20 08:08:32 am,62.5
03-Jan-20 08:13:36 am,61.5
03-Jan-20 08:18:36 am,60.5
03-Jan-20 08:23:37 am,59.5
03-Jan-20 08:28:38 am,58.5
03-Jan-20 08:34:00 am,57.4
03-Jan-20 08:39:33 am,56.3
03-Jan-20 08:44:33 am,55.3
03-Jan-20 12:54:31 pm,56.3
03-Jan-20 12:59:31 pm,57.3
03-Jan-20 01:05:17 pm,58.5
03-Jan-20 01:10:48 pm,59.6
03-Jan-20 01:15:48 pm,60.6
03-Jan-20 01:21:11 pm,61.7
03-Jan-20 01:26:13 pm,62.7
03-Jan-20 01:31:32 pm,63.7
03-Jan-20 01:36:32 pm,64.7
06-Jan-20 09:52:13 am,63.7
06-Jan-20 09:57:41 am,62.6
06-Jan-20 10:03:32 am,61.5
06-Jan-20 10:08:51 am,60.4
06-Jan-20 10:14:51 am,59.2
06-Jan-20 10:20:09 am,58.1
06-Jan-20 10:25:52 am,57.0
06-Jan-20 10:31:32 am,55.9
06-Jan-20 01:56:39 pm,56.9
06-Jan-20 02:01:46 pm,58.0
06-Jan-20 02:07:06 pm,59.0
06-Jan-20 02:12:19 pm,60.1
06-Jan-20 02:18:00 pm,61.2
06-Jan-20 02:23:36 pm,62.3
06-Jan-20 02:28:36 pm,63.3
06-Jan-20 02:34:28 pm,64.5
07-Jan-20 02:29:29 pm,63.5
07-Jan-20 02:34:30 pm,62.5
07-Jan-20 02:39:32 pm,61.5
07-Jan-20 02:44:58 pm,60.4
07-Jan-20 02:50:14 pm,59.3
07-Jan-20 02:55:30 pm,58.3
07-Jan-20 03:00:31 pm,57.3
07-Jan-20 03:05:31 pm,56.3
07-Jan-20 03:11:21 pm,55.1
07-Jan-20 06:06:39 pm,56.2
07-Jan-20 06:11:51 pm,57.3
07-Jan-20 06:16:50 pm,58.3
07-Jan-20 06:21:57 pm,59.3
07-Jan-20 06:26:59 pm,60.3
07-Jan-20 06:32:10 pm,61.3
07-Jan-20 06:37:25 pm,62.4
07-Jan-20 06:42:25 pm,63.4
07-Jan-20 06:47:26 pm,64.4
09-Jan-20 02:37:27 pm,63.3
09-Jan-20 02:42:30 pm,62.3
09-Jan-20 02:47:30 pm,61.3
09-Jan-20 02:52:30 pm,60.3
09-Jan-20 02:58:00 pm,59.2
09-Jan-20 03:03:07 pm,58.2
09-Jan-20 03:08:28 pm,57.1
09-Jan-20 03:13:30 pm,56.1
09-Jan-20 03:18:46 pm,55.1
09-Jan-20 03:45:00 pm,56.2
09-Jan-20 03:50:32 pm,57.3
09-Jan-20 03:56:00 pm,58.4
09-Jan-20 04:01:25 pm,59.5
09-Jan-20 04:06:35 pm,60.5
09-Jan-20 04:11:50 pm,61.5
09-Jan-20 04:17:00 pm,62.6
09-Jan-20 04:22:11 pm,63.6
09-Jan-20 04:27:44 pm,64.7
09-Jan-20 04:51:21 pm,63.7
09-Jan-20 04:56:39 pm,62.7
09-Jan-20 05:02:00 pm,61.6
09-Jan-20 05:07:09 pm,60.6
09-Jan-20 05:12:45 pm,59.4
09-Jan-20 05:18:56 pm,58.2
09-Jan-20 05:24:30 pm,57.1
09-Jan-20 05:29:48 pm,56.0
09-Jan-20 05:35:06 pm,55.0
09-Jan-20 06:02:01 pm,56.1
09-Jan-20 06:07:11 pm,57.1
09-Jan-20 06:12:28 pm,58.2
09-Jan-20 06:17:44 pm,59.2
09-Jan-20 06:22:43 pm,60.2
09-Jan-20 06:27:44 pm,61.2
09-Jan-20 06:32:45 pm,62.2
09-Jan-20 06:38:24 pm,63.4
09-Jan-20 06:44:39 pm,64.6
10-Jan-20 04:04:23 pm,63.6
10-Jan-20 04:09:25 pm,62.6
10-Jan-20 04:14:25 pm,61.6
10-Jan-20 04:19:36 pm,60.5
10-Jan-20 04:24:58 pm,59.5
10-Jan-20 04:29:59 pm,58.5
10-Jan-20 04:35:47 pm,57.3
10-Jan-20 04:41:08 pm,56.2
10-Jan-20 04:46:29 pm,55.2
10-Jan-20 05:20:08 pm,56.2
10-Jan-20 05:25:37 pm,57.3
10-Jan-20 05:30:37 pm,58.3
10-Jan-20 05:36:40 pm,59.5
10-Jan-20 05:42:07 pm,60.6
10-Jan-20 05:47:28 pm,61.7
10-Jan-20 05:52:58 pm,62.8
10-Jan-20 05:58:20 pm,63.8
10-Jan-20 06:03:20 pm,64.8
16-Jan-20 02:35:00 pm,63.7
16-Jan-20 02:40:00 pm,62.7
16-Jan-20 02:45:20 pm,61.7
16-Jan-20 02:50:32 pm,60.6
16-Jan-20 02:55:50 pm,59.6
16-Jan-20 03:01:14 pm,58.5
16-Jan-20 03:06:14 pm,57.5
16-Jan-20 03:11:14 pm,56.5
16-Jan-20 03:16:19 pm,55.5
16-Jan-20 05:09:27 pm,56.5
16-Jan-20 05:14:28 pm,57.5
16-Jan-20 05:19:30 pm,58.5
16-Jan-20 05:25:00 pm,59.6
16-Jan-20 05:30:01 pm,60.6
16-Jan-20 05:35:28 pm,61.7
16-Jan-20 05:40:45 pm,62.7
16-Jan-20 05:45:45 pm,63.7
16-Jan-20 05:51:00 pm,64.8
17-Jan-20 12:25:27 pm,63.7
17-Jan-20 12:30:27 pm,62.7
17-Jan-20 12:35:57 pm,61.6
17-Jan-20 12:40:58 pm,60.6
17-Jan-20 12:50:29 pm,61.6
17-Jan-20 12:55:44 pm,62.6
17-Jan-20 01:00:44 pm,63.6
17-Jan-20 01:06:32 pm,64.8
21-Jan-20 10:20:07 am,63.8
21-Jan-20 10:25:32 am,62.7
21-Jan-20 10:30:52 am,61.6
21-Jan-20 10:36:07 am,60.6
21-Jan-20 10:41:41 am,59.5
21-Jan-20 10:47:27 am,58.3
21-Jan-20 10:52:58 am,57.2
21-Jan-20 10:58:04 am,56.2
21-Jan-20 11:03:15 am,55.2
21-Jan-20 03:13:32 pm,56.2
21-Jan-20 03:18:39 pm,57.2
21-Jan-20 03:24:00 pm,58.2
21-Jan-20 03:29:00 pm,59.2
21-Jan-20 03:34:02 pm,60.3
21-Jan-20 03:39:28 pm,61.3
21-Jan-20 03:44:37 pm,62.4
21-Jan-20 03:50:05 pm,63.5
21-Jan-20 03:55:05 pm,64.5
22-Jan-20 03:39:59 pm,63.4
22-Jan-20 03:44:59 pm,62.4
22-Jan-20 03:50:00 pm,61.4
22-Jan-20 03:55:37 pm,60.3
22-Jan-20 04:01:13 pm,59.2
22-Jan-20 04:06:55 pm,58.1
22-Jan-20 04:12:02 pm,57.0
22-Jan-20 04:17:56 pm,55.9
22-Jan-20 04:39:06 pm,57.0
22-Jan-20 04:44:16 pm,58.0
22-Jan-20 04:49:32 pm,59.0
22-Jan-20 04:55:00 pm,60.1
22-Jan-20 05:00:41 pm,61.3
22-Jan-20 05:06:23 pm,62.4
22-Jan-20 05:12:06 pm,63.6
22-Jan-20 05:17:15 pm,64.6
23-Jan-20 09:55:58 am,63.6
23-Jan-20 10:01:17 am,62.5
23-Jan-20 10:06:29 am,61.5
23-Jan-20 10:11:36 am,60.4
23-Jan-20 10:16:59 am,59.4
23-Jan-20 10:22:52 am,58.2
23-Jan-20 10:27:59 am,57.2
23-Jan-20 10:33:12 am,56.1
23-Jan-20 10:38:42 am,55.0
23-Jan-20 03:29:52 pm,56.1
23-Jan-20 03:35:29 pm,57.3
23-Jan-20 03:40:37 pm,58.3
23-Jan-20 03:46:34 pm,59.5
23-Jan-20 03:52:06 pm,60.6
23-Jan-20 03:57:30 pm,61.7
23-Jan-20 04:03:03 pm,62.8
23-Jan-20 04:08:06 pm,63.8
23-Jan-20 04:13:06 pm,64.8
24-Jan-20 11:16:57 am,63.7
24-Jan-20 11:21:58 am,62.7
24-Jan-20 11:27:09 am,61.6
